0: Birth: 0
56001100: Birth: 1
80001900: Food Made: 265
80001900: Food Made: 266
80001900: Food Made: 267
80001900: Food Made: 268
80001900: Food Made: 269
80001900: Food Made: 270
80001900: Food Made: 271
80001900: Food Made: 272
80001900: Food Made: 273
80001900: Food Made: 274
80001900: Food Made: 275
80001900: Food Made: 276
80001900: Food Made: 277
80001900: Food Made: 278
80001900: Food Made: 279
80001900: Food Made: 280
80001900: Food Made: 281
80001900: Food Made: 282
80001900: Food Made: 283
80001900: Food Made: 284
80001900: Food Made: 285
80001900: Food Made: 286
80001900: Food Made: 287
80001900: Food Made: 288
80001900: Food Made: 289
80001900: Food Made: 290
80001900: Food Made: 291
80001900: Food Made: 292
80001900: Food Made: 293
80001900: Food Made: 294
80001900: Food Made: 295
80001900: Food Made: 296
80001900: Food Made: 297
80001900: Food Made: 298
80001900: Food Made: 299
80001900: Food Made: 300
80001900: Food Made: 301
80001900: Food Made: 302
80001900: Food Made: 303
80001900: Food Made: 304
80001900: Food Made: 305
80001900: Food Made: 306
80001900: Food Made: 307
80001900: Food Made: 308
80001900: Food Made: 309
80001900: Food Made: 310
80001900: Food Made: 311
80001900: Food Made: 312
80001900: Food Made: 313
80001900: Food Made: 314
80001900: Food Made: 315
80001900: Food Made: 316
80001900: Food Made: 317
80001900: Food Made: 318
80001900: Food Made: 319
80001900: Food Made: 320
80001900: Food Made: 321
80001900: Food Made: 322
80001900: Food Made: 323
80001900: Food Made: 324
80001900: Food Made: 325
80001900: Food Made: 326
80001900: Food Made: 327
80001900: Food Made: 328
80001900: Food Made: 329
80001900: Food Made: 330
80001900: Food Made: 331
80001900: Food Made: 332
80001900: Food Made: 333
80001900: Food Made: 334
80001900: Food Made: 335
80001900: Food Made: 336
80001900: Food Made: 337
80001900: Food Made: 338
80001900: Food Made: 339
80001900: Food Made: 340
80001900: Food Made: 341
80001900: Food Made: 342
80001900: Food Made: 343
80001900: Food Made: 344
80001900: Food Made: 345
80001900: Food Made: 346
80001900: Food Made: 347
80001900: Food Made: 348
80001900: Food Made: 349
80001900: Food Made: 350
80001900: Food Made: 351
80001900: Food Made: 352
80001900: Food Made: 353
80001900: Food Made: 354
80001900: Food Made: 355
80001900: Food Made: 356
80001900: Food Made: 357
80001900: Food Made: 358
80001900: Food Made: 359
80001900: Food Made: 360
80001900: Food Made: 361
80001900: Food Made: 362
80001900: Food Made: 363
80001900: Food Made: 364
80001900: Food Made: 365
80001900: Food Made: 366
80001900: Food Made: 367
80001900: Food Made: 368
80001900: Food Made: 369
80001900: Food Made: 370
80001900: Food Made: 371
80001900: Food Made: 372
80001900: Food Made: 373
80001900: Food Made: 374
80001900: Food Made: 375
80001900: Food Made: 376
80001900: Food Made: 377
80001900: Food Made: 378
80001900: Food Made: 379
80001900: Food Made: 380
80001900: Food Made: 381
80001900: Food Made: 382
80001900: Food Made: 383
80001900: Food Made: 384
80001900: Food Made: 385
80001900: Food Made: 386
80001900: Food Made: 387
80001900: Food Made: 388
80001900: Food Made: 389
80001900: Food Made: 390
80001900: Food Made: 391
80001900: Food Made: 392
80001900: Food Made: 393
80001900: Food Made: 394
80001900: Food Made: 395
80001900: Food Made: 396
80001900: Food Made: 397
80001900: Food Made: 398
80001900: Food Made: 399
80001900: Food Made: 400
80001900: Food Made: 401
80001900: Food Made: 402
80001900: Food Made: 403
80001900: Food Made: 404
80001900: Food Made: 405
80001900: Food Made: 406
80001900: Food Made: 407
80001900: Food Made: 408
80001900: Food Made: 409
80001900: Food Made: 410
80001900: Food Made: 411
80001900: Food Made: 412
80001900: Food Made: 413
80001900: Food Made: 414
80001900: Food Made: 415
80001900: Food Made: 416
80001900: Food Made: 417
80001900: Food Made: 418
80001900: Food Made: 419
80001900: Food Made: 420
80001900: Food Made: 421
80001900: Food Made: 422
80001900: Food Made: 423
80001900: Food Made: 424
80001900: Food Made: 425
80001900: Food Made: 426
80001900: Food Made: 427
80001900: Food Made: 428
80001900: Food Made: 429
80001900: Food Made: 430
80001900: Food Made: 431
80001900: Food Made: 432
80001900: Food Made: 433
80001900: Food Made: 434
80001900: Food Made: 435
80001900: Food Made: 436
80001900: Food Made: 437
80001900: Food Made: 438
80001900: Food Made: 439
80001900: Food Made: 440
80001900: Food Made: 441
80001900: Food Made: 442
80001900: Food Made: 443
80001900: Food Made: 444
80001900: Food Made: 445
80001900: Food Made: 446
80001900: Food Made: 447
80001900: Food Made: 448
80001900: Food Made: 449
80001900: Food Made: 450
80001900: Food Made: 451
80001900: Food Made: 452
80001900: Food Made: 453
80001900: Food Made: 454
80001900: Food Made: 455
80001900: Food Made: 456
80001900: Food Made: 457
80001900: Food Made: 458
80001900: Food Made: 459
80001900: Food Made: 460
80001900: Food Made: 461
80001900: Food Made: 462
80001900: Food Made: 463
80001900: Food Made: 464
80001900: Food Made: 465
80001900: Food Made: 466
80001900: Food Made: 467
80001900: Food Made: 468
80001900: Food Made: 469
80001900: Food Made: 470
80001900: Food Made: 471
80001900: Food Made: 472
80001900: Food Made: 473
80001900: Food Made: 474
80001900: Food Made: 475
80001900: Food Made: 476
80001900: Food Made: 477
80001900: Food Made: 478
80001900: Food Made: 479
80001900: Food Made: 480
80001900: Food Made: 481
80001900: Food Made: 482
80001900: Food Made: 483
80001900: Food Made: 484
80001900: Food Made: 485
80001900: Food Made: 486
80001900: Food Made: 487
80001900: Food Made: 488
80001900: Food Made: 489
80001900: Food Made: 490
80001900: Food Made: 491
80001900: Food Made: 492
80001900: Food Made: 493
80001900: Food Made: 494
80001900: Food Made: 495
80001900: Food Made: 496
80001900: Food Made: 497
80001900: Food Made: 498
80001900: Food Made: 499
80001900: Food Made: 500
80001900: Food Made: 501
80001900: Food Made: 502
80001900: Food Made: 503
80001900: Food Made: 504
80001900: Food Made: 505
80001900: Food Made: 506
80001900: Food Made: 507
80001900: Food Made: 508
80001900: Food Made: 509
80001900: Food Made: 510
80001900: Food Made: 511
80001900: Food Made: 512
80001900: Food Made: 513
80001900: Food Made: 514
80001900: Food Made: 515
80001900: Food Made: 516
80001900: Food Made: 517
80001900: Food Made: 518
80001900: Food Made: 519
80001900: Food Made: 520
80001900: Food Made: 521
80001900: Food Made: 522
80001900: Food Made: 523
80001900: Food Made: 524
80001900: Food Made: 525
80001900: Food Made: 526
80001900: Food Made: 527
80001900: Food Made: 528
80001900: Food Made: 529
80001900: Food Made: 530
80001900: Food Made: 531
80001900: Food Made: 532
80001900: Food Made: 533
80001900: Food Made: 534
80001900: Food Made: 535
80001900: Food Made: 536
80001900: Food Made: 537
80001900: Food Made: 538
80001900: Food Made: 539
80001900: Food Made: 540
80001900: Food Made: 541
80001900: Food Made: 542
80001900: Food Made: 543
80001900: Food Made: 544
80001900: Food Made: 545
80001900: Food Made: 546
80001900: Food Made: 547
80001900: Food Made: 548
80001900: Food Made: 549
80001900: Food Made: 550
80001900: Food Made: 551
80001900: Food Made: 552
80001900: Food Made: 553
80001900: Food Made: 554
80001900: Food Made: 555
80001900: Food Made: 556
80001900: Food Made: 557
80001900: Food Made: 558
80001900: Food Made: 559
80001900: Food Made: 560
80001900: Food Made: 561
80001900: Food Made: 562
80001900: Food Made: 563
80001900: Food Made: 564
80001900: Food Made: 565
80001900: Food Made: 566
80001900: Food Made: 567
80001900: Food Made: 568
80001900: Food Made: 569
80001900: Food Made: 570
80001900: Food Made: 571
80001900: Food Made: 572
80001900: Food Made: 573
80001900: Food Made: 574
80001900: Food Made: 575
80001900: Food Made: 576
80001900: Food Made: 577
80001900: Food Made: 578
80001900: Food Made: 579
80001900: Food Made: 580
80001900: Food Made: 581
80001900: Food Made: 582
80001900: Food Made: 583
80001900: Food Made: 584
80001900: Food Made: 585
80001900: Food Made: 586
80001900: Food Made: 587
80001900: Food Made: 588
80001900: Food Made: 589
80001900: Food Made: 590
80001900: Food Made: 591
80001900: Food Made: 592
80001900: Food Made: 593
80001900: Food Made: 594
80001900: Food Made: 595
80001900: Food Made: 596
80001900: Food Made: 597
80001900: Food Made: 598
80001900: Food Made: 599
80001900: Food Made: 600
80001900: Food Made: 601
80001900: Food Made: 602
80001900: Food Made: 603
80001900: Food Made: 604
80001900: Food Made: 605
80001900: Food Made: 606
80001900: Food Made: 607
80001900: Food Made: 608
80001900: Food Made: 609
80001900: Food Made: 610
80001900: Food Made: 611
80001900: Food Made: 612
80001900: Food Made: 613
80001900: Food Made: 614
83999900: Food Made: 615
83999900: Food Made: 616
83999900: Food Made: 617
83999900: Food Made: 618
83999900: Food Made: 619
83999900: Food Made: 620
83999900: Food Made: 621
83999900: Food Made: 622
83999900: Food Made: 623
83999900: Food Made: 624
83999900: Food Made: 625
83999900: Food Made: 626
83999900: Food Made: 627
83999900: Food Made: 628
83999900: Food Made: 629
83999900: Food Made: 630
83999900: Food Made: 631
83999900: Food Made: 632
83999900: Food Made: 633
83999900: Food Made: 634
83999900: Food Made: 635
83999900: Food Made: 636
83999900: Food Made: 637
83999900: Food Made: 638
83999900: Food Made: 639
83999900: Food Made: 640
83999900: Food Made: 641
83999900: Food Made: 642
83999900: Food Made: 643
83999900: Food Made: 644
83999900: Food Made: 645
83999900: Food Made: 646
83999900: Food Made: 647
83999900: Food Made: 648
83999900: Food Made: 649
83999900: Food Made: 650
83999900: Food Made: 651
83999900: Food Made: 652
83999900: Food Made: 653
83999900: Food Made: 654
83999900: Food Made: 655
83999900: Food Made: 656
83999900: Food Made: 657
83999900: Food Made: 658
83999900: Food Made: 659
83999900: Food Made: 660
83999900: Food Made: 661
83999900: Food Made: 662
83999900: Food Made: 663
83999900: Food Made: 664
83999900: Food Made: 665
83999900: Food Made: 666
83999900: Food Made: 667
83999900: Food Made: 668
83999900: Food Made: 669
83999900: Food Made: 670
83999900: Food Made: 671
83999900: Food Made: 672
83999900: Food Made: 673
83999900: Food Made: 674
83999900: Food Made: 675
83999900: Food Made: 676
83999900: Food Made: 677
83999900: Food Made: 678
83999900: Food Made: 679
83999900: Food Made: 680
83999900: Food Made: 681
83999900: Food Made: 682
83999900: Food Made: 683
83999900: Food Made: 684
83999900: Food Made: 685
83999900: Food Made: 686
83999900: Food Made: 687
83999900: Food Made: 688
83999900: Food Made: 689
83999900: Food Made: 690
83999900: Food Made: 691
83999900: Food Made: 692
83999900: Food Made: 693
83999900: Food Made: 694
83999900: Food Made: 695
83999900: Food Made: 696
83999900: Food Made: 697
83999900: Food Made: 698
83999900: Food Made: 699
83999900: Food Made: 700
83999900: Food Made: 701
83999900: Food Made: 702
